📸 创建数据基线快照 (智能规范化模式)...
  ✓ abilities: 6,540 rows
  ✓ channels: 224 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 501,913 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 4,351 rows
  ✓ tokens: 9,218 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 24 rows
  ✓ two_fas: 6 rows
  ✓ users: 1,212 rows
  ✓ vendors: 171 rows

✅ 基线已保存
📸 创建数据基线快照...
  ✓ abilities: 6,493 rows
  ✓ channels: 224 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 506,525 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 5,080 rows
  ✓ tokens: 9,235 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 28 rows
  ✓ two_fas: 7 rows
  ✓ users: 1,214 rows
  ✓ vendors: 171 rows

✅ 基线已保存
📸 创建数据基线快照...
  ✓ abilities: 6,501 rows
  ✓ channels: 226 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 510,111 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 6,364 rows
  ✓ tokens: 9,254 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 28 rows
  ✓ two_fas: 7 rows
  ✓ users: 1,221 rows
  ✓ vendors: 171 rows

✅ 基线已保存
📸 创建数据基线快照...
  ✓ abilities: 7,071 rows
  ✓ channels: 240 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 514,421 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 7,643 rows
  ✓ tokens: 9,271 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 24 rows
  ✓ two_fas: 6 rows
  ✓ users: 1,224 rows
  ✓ vendors: 171 rows

✅ 基线已保存
📸 创建数据基线快照...
  ✓ abilities: 7,071 rows
  ✓ channels: 240 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 517,604 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 7,645 rows
  ✓ tokens: 9,280 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 24 rows
  ✓ two_fas: 6 rows
  ✓ users: 1,229 rows
  ✓ vendors: 171 rows

✅ 基线已保存
📸 创建数据基线快照...
  ✓ abilities: 7,072 rows
  ✓ channels: 240 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 520,802 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 7,673 rows
  ✓ tokens: 9,292 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 24 rows
  ✓ two_fas: 6 rows
  ✓ users: 1,232 rows
  ✓ vendors: 171 rows

✅ 基线已保存
📸 创建数据基线快照...
  ✓ abilities: 7,098 rows
  ✓ channels: 243 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 525,588 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 7,800 rows
  ✓ tokens: 9,312 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 24 rows
  ✓ two_fas: 6 rows
  ✓ users: 1,241 rows
  ✓ vendors: 171 rows

✅ 基线已保存
📸 创建数据基线快照...
  ✓ abilities: 7,097 rows
  ✓ channels: 243 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 530,280 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 8,005 rows
  ✓ tokens: 9,333 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 24 rows
  ✓ two_fas: 6 rows
  ✓ users: 1,246 rows
  ✓ vendors: 171 rows

✅ 基线已保存
📸 创建数据基线快照...
  ✓ abilities: 7,164 rows
  ✓ channels: 244 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 534,662 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 8,076 rows
  ✓ tokens: 9,362 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 24 rows
  ✓ two_fas: 6 rows
  ✓ users: 1,252 rows
  ✓ vendors: 171 rows

✅ 基线已保存
📸 创建数据基线快照...
  ✓ abilities: 7,167 rows
  ✓ channels: 244 rows
  ✓ checkins: 0 rows
  ✓ logs: 0 rows
  ✓ midjourneys: 0 rows
  ✓ models: 190 rows
  ✓ options: 61 rows
  ✓ passkey_credentials: 0 rows
  ✓ prefill_groups: 3 rows
  ✓ quota_data: 536,312 rows
  ✓ redemptions: 285 rows
  ✓ setups: 1 rows
  ✓ tasks: 8,080 rows
  ✓ tokens: 9,371 rows
  ✓ top_ups: 0 rows
  ✓ two_fa_backup_codes: 24 rows
  ✓ two_fas: 6 rows
  ✓ users: 1,252 rows
  ✓ vendors: 171 rows

✅ 基线已保存
